title,一、我是测试标题(可修改),
name,图一、我是测试图注(可修改),
dataset_x_value,dataset_y_value,"这一行请不要修改,数据必须从第四行开始，名字值成对"
10,8.04,
8.07,6.95,
13,7.58,
9.05,8.81,
11,8.33,
14,7.66,
13.4,6.81,
10,6.33,
14,8.96,
12.5,6.82,
9.15,7.2,
11.5,7.2,
3.03,4.23,
12.2,7.83,
2.02,4.47,
1.05,3.33,
4.05,4.96,
6.03,7.24,
12,6.26,
12,8.84,
7.08,5.82,
5.02,5.68,
,,
,,
,,
,,
,,
,,
,,
模板使用说明：,,
1、“模板使用说明：”此行上面必须和数据行之间留有空行。,,
2、第一列是数据名称列，第二列起为数据内容,,
"3、第三行请不要修改,数据必须从第四行开始填写，名字和值成对填写。",,
4、各数据字段说明如下：,,
title: 表示图表的标题,,
name: 表示图表的图注,,
dataset_x_value: 表示数据系列的X轴数值,,
dataset_y_value: 表示数据系列的Y轴数值,,
从第四行起，第一列是数据名称，第二列是数据值,,
